Linear_Index,freq_key,freq_label,age_key,age_label,sex_key,sex_label,icd10_key,icd10_label,isced97_key,isced97_label,geo_key,geo_label,time_key,time_label,Value,Status_Code,Status_Label
666,A,Annual,TOTAL,Total,F,Females,E10-E14,Diabetes mellitus,ED0-2,"Pre-primary, primary and lower secondary education (levels 0-2)",AT,Austria,2008,2008,9.5,,
656,A,Annual,TOTAL,Total,F,Females,E10-E14,Diabetes mellitus,ED0-2,"Pre-primary, primary and lower secondary education (levels 0-2)",BE,Belgium,2008,2008,7.5,,
657,A,Annual,TOTAL,Total,F,Females,E10-E14,Diabetes mellitus,ED0-2,"Pre-primary, primary and lower secondary education (levels 0-2)",BG,Bulgaria,2008,2008,6.6,,
662,A,Annual,TOTAL,Total,F,Females,E10-E14,Diabetes mellitus,ED0-2,"Pre-primary, primary and lower secondary education (levels 0-2)",CY,Cyprus,2008,2008,7.9,,
658,A,Annual,TOTAL,Total,F,Females,E10-E14,Diabetes mellitus,ED0-2,"Pre-primary, primary and lower secondary education (levels 0-2)",CZ,Czechia,2008,2008,8.2,,
660,A,Annual,TOTAL,Total,F,Females,E10-E14,Diabetes mellitus,ED0-2,"Pre-primary, primary and lower secondary education (levels 0-2)",EL,Greece,2008,2008,12.4,,
661,A,Annual,TOTAL,Total,F,Females,E10-E14,Diabetes mellitus,ED0-2,"Pre-primary, primary and lower secondary education (levels 0-2)",ES,Spain,2008,2008,8.1,,
664,A,Annual,TOTAL,Total,F,Females,E10-E14,Diabetes mellitus,ED0-2,"Pre-primary, primary and lower secondary education (levels 0-2)",HU,Hungary,2008,2008,11.5,,
663,A,Annual,TOTAL,Total,F,Females,E10-E14,Diabetes mellitus,ED0-2,"Pre-primary, primary and lower secondary education (levels 0-2)",LV,Latvia,2008,2008,5.1,,
665,A,Annual,TOTAL,Total,F,Females,E10-E14,Diabetes mellitus,ED0-2,"Pre-primary, primary and lower secondary education (levels 0-2)",MT,Malta,2008,2008,11.6,,
667,A,Annual,TOTAL,Total,F,Females,E10-E14,Diabetes mellitus,ED0-2,"Pre-primary, primary and lower secondary education (levels 0-2)",PL,Poland,2008,2008,11.3,,
668,A,Annual,TOTAL,Total,F,Females,E10-E14,Diabetes mellitus,ED0-2,"Pre-primary, primary and lower secondary education (levels 0-2)",RO,Romania,2008,2008,4.5,,
669,A,Annual,TOTAL,Total,F,Females,E10-E14,Diabetes mellitus,ED0-2,"Pre-primary, primary and lower secondary education (levels 0-2)",SI,Slovenia,2008,2008,9.4,,
670,A,Annual,TOTAL,Total,F,Females,E10-E14,Diabetes mellitus,ED0-2,"Pre-primary, primary and lower secondary education (levels 0-2)",SK,Slovakia,2008,2008,13.4,,
671,A,Annual,TOTAL,Total,F,Females,E10-E14,Diabetes mellitus,ED0-2,"Pre-primary, primary and lower secondary education (levels 0-2)",TR,Türkiye,2008,2008,4.2,,
682,A,Annual,TOTAL,Total,F,Females,E10-E14,Diabetes mellitus,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),AT,Austria,2008,2008,3.1,,
672,A,Annual,TOTAL,Total,F,Females,E10-E14,Diabetes mellitus,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),BE,Belgium,2008,2008,4.3,,
673,A,Annual,TOTAL,Total,F,Females,E10-E14,Diabetes mellitus,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),BG,Bulgaria,2008,2008,3.3,,
678,A,Annual,TOTAL,Total,F,Females,E10-E14,Diabetes mellitus,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),CY,Cyprus,2008,2008,2.2,,
674,A,Annual,TOTAL,Total,F,Females,E10-E14,Diabetes mellitus,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),CZ,Czechia,2008,2008,4.6,,
676,A,Annual,TOTAL,Total,F,Females,E10-E14,Diabetes mellitus,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),EL,Greece,2008,2008,1.9,,
677,A,Annual,TOTAL,Total,F,Females,E10-E14,Diabetes mellitus,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),ES,Spain,2008,2008,2.3,,
680,A,Annual,TOTAL,Total,F,Females,E10-E14,Diabetes mellitus,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),HU,Hungary,2008,2008,4.5,,
679,A,Annual,TOTAL,Total,F,Females,E10-E14,Diabetes mellitus,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),LV,Latvia,2008,2008,4.1,,
681,A,Annual,TOTAL,Total,F,Females,E10-E14,Diabetes mellitus,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),MT,Malta,2008,2008,2.2,,
683,A,Annual,TOTAL,Total,F,Females,E10-E14,Diabetes mellitus,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),PL,Poland,2008,2008,4.5,,
684,A,Annual,TOTAL,Total,F,Females,E10-E14,Diabetes mellitus,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),RO,Romania,2008,2008,2.8,,
