Linear_Index,freq_key,freq_label,sex_key,sex_label,age_key,age_label,isced97_key,isced97_label,icha_hc_key,icha_hc_label,unit_key,unit_label,geo_key,geo_label,time_key,time_label,Value,Status_Code,Status_Label
2215,A,Annual,F,Females,TOTAL,Total,ED0-2,"Pre-primary, primary and lower secondary education (levels 0-2)",DAY,Day patient,PC,Percentage,AT,Austria,2008,2008,8.9,,
2205,A,Annual,F,Females,TOTAL,Total,ED0-2,"Pre-primary, primary and lower secondary education (levels 0-2)",DAY,Day patient,PC,Percentage,BE,Belgium,2008,2008,9.9,,
2206,A,Annual,F,Females,TOTAL,Total,ED0-2,"Pre-primary, primary and lower secondary education (levels 0-2)",DAY,Day patient,PC,Percentage,BG,Bulgaria,2008,2008,3.8,,
2211,A,Annual,F,Females,TOTAL,Total,ED0-2,"Pre-primary, primary and lower secondary education (levels 0-2)",DAY,Day patient,PC,Percentage,CY,Cyprus,2008,2008,9.0,,
2207,A,Annual,F,Females,TOTAL,Total,ED0-2,"Pre-primary, primary and lower secondary education (levels 0-2)",DAY,Day patient,PC,Percentage,CZ,Czechia,2008,2008,5.2,,
2208,A,Annual,F,Females,TOTAL,Total,ED0-2,"Pre-primary, primary and lower secondary education (levels 0-2)",DAY,Day patient,PC,Percentage,EL,Greece,2008,2008,14.7,,
2209,A,Annual,F,Females,TOTAL,Total,ED0-2,"Pre-primary, primary and lower secondary education (levels 0-2)",DAY,Day patient,PC,Percentage,ES,Spain,2008,2008,10.3,,
2213,A,Annual,F,Females,TOTAL,Total,ED0-2,"Pre-primary, primary and lower secondary education (levels 0-2)",DAY,Day patient,PC,Percentage,HU,Hungary,2008,2008,9.9,,
2212,A,Annual,F,Females,TOTAL,Total,ED0-2,"Pre-primary, primary and lower secondary education (levels 0-2)",DAY,Day patient,PC,Percentage,LV,Latvia,2008,2008,1.7,,
2214,A,Annual,F,Females,TOTAL,Total,ED0-2,"Pre-primary, primary and lower secondary education (levels 0-2)",DAY,Day patient,PC,Percentage,MT,Malta,2008,2008,14.1,,
2216,A,Annual,F,Females,TOTAL,Total,ED0-2,"Pre-primary, primary and lower secondary education (levels 0-2)",DAY,Day patient,PC,Percentage,PL,Poland,2008,2008,2.9,,
2217,A,Annual,F,Females,TOTAL,Total,ED0-2,"Pre-primary, primary and lower secondary education (levels 0-2)",DAY,Day patient,PC,Percentage,RO,Romania,2008,2008,0.7,,
2218,A,Annual,F,Females,TOTAL,Total,ED0-2,"Pre-primary, primary and lower secondary education (levels 0-2)",DAY,Day patient,PC,Percentage,SI,Slovenia,2008,2008,6.3,,
2219,A,Annual,F,Females,TOTAL,Total,ED0-2,"Pre-primary, primary and lower secondary education (levels 0-2)",DAY,Day patient,PC,Percentage,SK,Slovakia,2008,2008,1.9,,
2200,A,Annual,F,Females,TOTAL,Total,ED0-2,"Pre-primary, primary and lower secondary education (levels 0-2)",IN,In-patient,PC,Percentage,AT,Austria,2008,2008,22.9,,
2190,A,Annual,F,Females,TOTAL,Total,ED0-2,"Pre-primary, primary and lower secondary education (levels 0-2)",IN,In-patient,PC,Percentage,BE,Belgium,2008,2008,14.6,,
2191,A,Annual,F,Females,TOTAL,Total,ED0-2,"Pre-primary, primary and lower secondary education (levels 0-2)",IN,In-patient,PC,Percentage,BG,Bulgaria,2008,2008,13.4,,
2196,A,Annual,F,Females,TOTAL,Total,ED0-2,"Pre-primary, primary and lower secondary education (levels 0-2)",IN,In-patient,PC,Percentage,CY,Cyprus,2008,2008,11.0,,
2192,A,Annual,F,Females,TOTAL,Total,ED0-2,"Pre-primary, primary and lower secondary education (levels 0-2)",IN,In-patient,PC,Percentage,CZ,Czechia,2008,2008,16.9,,
2193,A,Annual,F,Females,TOTAL,Total,ED0-2,"Pre-primary, primary and lower secondary education (levels 0-2)",IN,In-patient,PC,Percentage,EL,Greece,2008,2008,12.6,,
2194,A,Annual,F,Females,TOTAL,Total,ED0-2,"Pre-primary, primary and lower secondary education (levels 0-2)",IN,In-patient,PC,Percentage,ES,Spain,2008,2008,11.4,,
2195,A,Annual,F,Females,TOTAL,Total,ED0-2,"Pre-primary, primary and lower secondary education (levels 0-2)",IN,In-patient,PC,Percentage,FR,France,2008,2008,15.8,,
2198,A,Annual,F,Females,TOTAL,Total,ED0-2,"Pre-primary, primary and lower secondary education (levels 0-2)",IN,In-patient,PC,Percentage,HU,Hungary,2008,2008,21.7,,
