group_name,dataset_count,dataset_ids
Ability to make ends meet,1,HLTH_DM060
Absence from work due to personal health problems,3,"HLTH_EHIS_AW1D,HLTH_EHIS_AW1E,HLTH_EHIS_AW1U"
Activity rate of people,1,HLTH_DLM020
"Arrears (mortgage or rent, utility bills or hire purchase)",1,HLTH_DM050
Available beds in hospitals,1,HLTH_RS_BDSRG2
Beds in nursing and other residential long-term care facilities,1,HLTH_RS_BDLTC
Body mass index (BMI),8,"HLTH_EHIS_BM1B,HLTH_EHIS_BM1C,HLTH_EHIS_BM1D,HLTH_EHIS_BM1E,HLTH_EHIS_BM1I,HLTH_EHIS_BM1U,HLTH_EHIS_DE1,HLTH_EHIS_DE2"
Breast cancer and cervical cancer screenings - historical data (2000-2021),1,HLTH_PS_SCRE
Causes of death,8,"HLTH_CD_ACDR,HLTH_CD_YCDRF,HLTH_CD_YCDRM,HLTH_CD_YCDRT,HLTH_CD_YNRF,HLTH_CD_YNRM,HLTH_CD_YNRT,HLTH_CD_YSDR1"
Causes of death - absolute number,1,HLTH_CD_ANR
Causes of death - crude death rate,2,"HLTH_CD_ACDR2,HLTH_CD_YCDR2"
Causes of death - death,1,HLTH_CD_MRO
Causes of death - deaths,2,"HLTH_CD_ARO,HLTH_CD_YRO"
Causes of death - infant mortality,4,"HLTH_CD_AINFO,HLTH_CD_AINFR,HLTH_CD_YINFO,HLTH_CD_YINFR"
Causes of death - potential years of life lost,1,HLTH_CD_APYLL
Causes of death - standardised death rate,4,"HLTH_CD_ASDR,HLTH_CD_ASDR2,HLTH_CD_MSDR2,HLTH_CD_YSDR2"
Causes of death - years and potential years of life lost,1,HLTH_CD_YPYLL
Consultation of a dentist per inhabitant,1,HLTH_HC_DENT
Consultation of a medical doctor (in private practice or as outpatient) per inhabitant - historical data (1960-2013),1,HLTH_HC_PHYS
Consultation of a medical doctor per inhabitant,1,HLTH_HC_PHYS2
Consumption of fruits,1,HLTH_EHIS_DE7
Consumption of vegetables,1,HLTH_EHIS_DE8
Correction of vision problems,2,"HLTH_EHIS_VIE,HLTH_EHIS_VIU"
"Crime, violence or vandalism in the area",1,HLTH_DHC130
Current depressive symptoms,6,"HLTH_EHIS_MH1B,HLTH_EHIS_MH1C,HLTH_EHIS_MH1D,HLTH_EHIS_MH1E,HLTH_EHIS_MH1I,HLTH_EHIS_MH1U"
Daily consumption of fruit and vegetables,7,"HLTH_EHIS_FV3E,HLTH_EHIS_FV3I,HLTH_EHIS_FV3M,HLTH_EHIS_FV3U,HLTH_EHIS_FV3B,HLTH_EHIS_FV3C,HLTH_EHIS_FV3D"
Daily exposure to tobacco smoke indoors,2,"HLTH_EHIS_SK4E,HLTH_EHIS_SK4U"
Daily smokers,1,HLTH_EHIS_DE5
Daily smokers of cigarettes,5,"HLTH_EHIS_SK3E,HLTH_EHIS_SK3I,HLTH_EHIS_SK3U,HLTH_EHIS_DE3,HLTH_EHIS_DE4"
Deaths of residents related to dementias including Alzheimer,1,HLTH_CD_DAR
Deaths related to infectious diseases,1,HLTH_CD_IDO
Deaths related to transport accidents occurring in the country,1,HLTH_CD_TRO
Detailed deaths related to transport accidents occurring in the EU,1,HLTH_CD_TROEU
Devices for medical imaging,1,HLTH_RS_MEDIM
Difficulties in household activities,5,"HLTH_EHIS_HA1D,HLTH_EHIS_HA1E,HLTH_EHIS_HA1HCS,HLTH_EHIS_HA1I,HLTH_EHIS_HA1U"
Difficulties in personal care activities,5,"HLTH_EHIS_PC1D,HLTH_EHIS_PC1E,HLTH_EHIS_PC1HCS,HLTH_EHIS_PC1I,HLTH_EHIS_PC1U"
